date,client_type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2012-07-18,TOTAL,745285,745285,1252054.0,1252054.0,1396939,1515658,1396939,1515658,246986,115557,246986,115557,5272479.0,5272479.0
2012-07-19,Client,251518,369729,792521.0,258308.0,637545,476738,719818,874970,193118,81142,103136,52166,2432582.0,2378127.0
2012-07-19,DII,41852,94,21019.0,17897.0,129692,124946,0,0,0,0,0,0,317509.0,17991.0
2012-07-19,FII,389558,249601,271698.0,761024.0,413825,735137,347402,198138,15159,16049,27902,15619,1841426.0,1599686.0
2012-07-19,Pro,75475,138979,192996.0,241005.0,208515,193448,322357,457161,38367,25569,115606,54975,734370.0,1330083.0
2012-07-19,TOTAL,758403,758403,1278234.0,1278234.0,1389577,1530269,1389577,1530269,246644,122760,246644,122760,5325887.0,5325887.0
2012-07-20,Client,252390,368050,796905.0,256122.0,696319,448623,763014,888030,199058,80871,102217,52572,2474166.0,2430005.0
2012-07-20,DII,41639,159,20338.0,18382.0,129352,125166,0,0,44,0,0,0,316539.0,18541.0
2012-07-20,FII,383733,253022,270474.0,763372.0,439134,744674,357372,191042,14761,16633,28866,15599,1869409.0,1609273.0
2012-07-20,Pro,79636,136167,195307.0,245148.0,217672,202798,362091,442189,37549,26097,120329,55430,759059.0,1361354.0
2012-07-20,TOTAL,757398,757398,1283024.0,1283024.0,1482477,1521261,1482477,1521261,251412,123601,251412,123601,5419173.0,5419173.0
2012-07-23,Client,266979,352835,793267.0,241679.0,781981,373626,793040,927277,212348,70225,99777,51260,2498426.0,2465868.0
2012-07-23,DII,39466,159,20153.0,19704.0,129352,129221,0,0,33,0,0,0,318225.0,19863.0
2012-07-23,FII,381166,271054,274516.0,779163.0,452156,836853,355682,179740,14346,15670,29045,14867,1974707.0,1629551.0
2012-07-23,Pro,80675,144238,197346.0,244736.0,215841,217533,430608,450216,34219,29863,132124,49631,775477.0,1451553.0
2012-07-23,TOTAL,768286,768286,1285282.0,1285282.0,1579330,1557233,1579330,1557233,260946,115758,260946,115758,5566835.0,5566835.0
2012-07-24,Client,267244,348013,795615.0,244336.0,784090,397539,808680,940220,214733,72456,102045,50338,2531677.0,2493632.0
2012-07-24,DII,40265,288,15824.0,18881.0,129352,129185,0,0,33,0,0,0,314659.0,19169.0
2012-07-24,FII,381691,281750,288230.0,789948.0,457103,832228,358019,177057,14430,14248,28658,13746,1987930.0,1649178.0
2012-07-24,Pro,81586,140735,202740.0,249244.0,213755,229302,417601,470977,35892,28087,134385,50707,791362.0,1463649.0
2012-07-24,TOTAL,770786,770786,1302409.0,1302409.0,1584300,1588254,1584300,1588254,265088,114791,265088,114791,5625628.0,5625628.0
2012-07-25,Client,285074,344325,796234.0,245271.0,829458,400038,832808,982233,222522,67178,104692,50828,2600504.0,2560157.0
2012-07-25,DII,40379,288,15224.0,19396.0,129352,129185,0,0,33,0,0,0,314173.0,19684.0
2012-07-25,FII,369900,288868,288947.0,788304.0,466601,841634,361543,177667,14519,14439,28175,12682,1996040.0,1657239.0
2012-07-25,Pro,87576,149448,193703.0,241137.0,216509,232613,447569,443570,34226,29436,138433,47543,794063.0,1467700.0
2012-07-25,TOTAL,782929,782929,1294108.0,1294108.0,1641920,1603470,1641920,1603470,271300,111053,271300,111053,5704780.0,5704780.0
2012-07-26,Client,245939,297521,703112.0,207507.0,348050,181442,522766,598376,47635,16433,31213,19208,1542611.0,1676591.0
2012-07-26,DII,31676,288,11090.0,17982.0,129301,51259,0,0,33,0,0,0,223359.0,18270.0
2012-07-26,FII,252199,188523,228839.0,651828.0,299858,495349,230657,93177,3786,282,4314,515,1280313.0,1169014.0
2012-07-26,Pro,60544,104026,118328.0,184052.0,179827,225443,203613,261940,10836,14243,26763,11235,609221.0,791629.0
2012-07-26,TOTAL,590358,590358,1061369.0,1061369.0,957036,953493,957036,953493,62290,30958,62290,30958,3655504.0,3655504.0
2012-07-27,Client,216616,310275,702762.0,212451.0,356670,263144,587917,654542,64511,26558,43190,24895,1630261.0,1833270.0
2012-07-27,DII,32072,288,11435.0,18947.0,134624,64440,0,0,33,0,0,0,242604.0,19235.0
2012-07-27,FII,288467,164415,232993.0,650154.0,365671,509068,242476,119027,9263,3990,9537,6946,1409452.0,1192555.0
2012-07-27,Pro,54597,116774,122694.0,188332.0,207808,234691,234380,297774,16165,19759,37245,18466,655714.0,892971.0
2012-07-27,TOTAL,591752,591752,1069884.0,1069884.0,1064773,1071343,1064773,1071343,89972,50307,89972,50307,3938031.0,3938031.0
2012-07-30,Client,211256,302371,668814.0,216395.0,329814,341227,625279,692200,63277,37671,48566,29953,1652059.0,1914764.0
2012-07-30,DII,32212,288,13807.0,18565.0,134824,65874,0,0,33,0,0,0,246750.0,18853.0
2012-07-30,FII,311536,185065,245207.0,627223.0,410989,514757,234941,134172,12996,7092,10132,8482,1502577.0,1200015.0
2012-07-30,Pro,55293,122573,128074.0,193719.0,227821,242940,243228,338426,23297,20008,40905,26336,697433.0,965187.0
2012-07-30,TOTAL,610297,610297,1055902.0,1055902.0,1103448,1164798,1103448,1164798,99603,64771,99603,64771,4098819.0,4098819.0
